Model,Zone,Output,Input,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
CLASSIC,CW,evapotrans,lai,20608,0.26685064669656233,0.26830236564185306,0.004893290707433053,0.25903293340955164,0.27813806381102113,True
CLASSIC,CW,tran,precipitation,20608,0.3008081611584258,0.3011446581301928,0.005970843239254594,0.2893878883599564,0.31276369819145877,True
CLASSIC,CW,tran,lai,20608,0.40880148624936335,0.40995509899272736,0.00388909212564596,0.4025500596311652,0.4179265649683044,True
CLASSIC,CW,evspsblveg,precipitation,20608,0.3628836688304839,0.36305156404990163,0.005551222967939674,0.35247937539622604,0.3735813787420142,True
CLASSIC,CW,evspsblveg,lai,20608,0.5432541978682404,0.5446058016539762,0.0027305114818826346,0.5392135925596611,0.5498795323314114,True
CLASSIC,CW,evspsblsoi,precipitation,20608,0.14482216362511718,0.14759476136453825,0.006556092454982357,0.13514107885608928,0.16022131726456196,True
CLASSIC,CW,evspsblsoi,lai,20608,0.1971115568521884,0.20024087828173642,0.0050796170840537065,0.19012263947202002,0.21062939993060087,True
CLASSIC,CD,evapotrans,precipitation,10290,0.3601068999028183,0.3591125966957746,0.0071526546488187535,0.3449020186736539,0.3727137194510934,True
CLASSIC,CD,evapotrans,lai,10290,0.3986394557823129,0.40143528783268434,0.007532866107516531,0.3882537598950815,0.41730014643433805,True
CLASSIC,CD,tran,precipitation,10290,0.3174927113702624,0.31876761375905593,0.009475392610605246,0.2995466543066603,0.33711049868305876,True
CLASSIC,CD,tran,lai,10290,0.5248785228377065,0.5254553218635458,0.005796044227301831,0.5139973888307057,0.5364953318737167,True
CLASSIC,CD,evspsblveg,precipitation,10290,0.3493197278911565,0.35226305069715724,0.00914365793302794,0.3347985965729021,0.37026339037560557,True
CLASSIC,CD,evspsblveg,lai,10290,0.5452380952380952,0.5467579688879307,0.004331052551008087,0.5388220348606143,0.5555362939991682,True
CLASSIC,CD,evspsblsoi,precipitation,10290,0.28396501457725953,0.28599229287149114,0.008566240984672537,0.2688879064354332,0.30276786612620443,True
CLASSIC,CD,evspsblsoi,lai,10290,0.3615646258503401,0.36028798041085375,0.006871922721290777,0.34623026689773273,0.3734444035038582,True
LPJ-GUESS,HW,evapotrans,precipitation,12149,0.3800420160239441,0.3832708324320207,0.006758812054813085,0.3699138174632671,0.39652383909853256,True
LPJ-GUESS,HW,evapotrans,lai,12149,0.492516141313939,0.49437435988581035,0.005452226586932032,0.4834936493013176,0.5055110828851012,True
LPJ-GUESS,HW,tran,precipitation,12149,0.29473224607895043,0.2965693165503087,0.008133685166039593,0.28052321505276173,0.3128715250827867,True
LPJ-GUESS,HW,tran,lai,12149,0.45251474574784223,0.453137353472166,0.006177620107678596,0.4408960298658562,0.4645529361599845,True
LPJ-GUESS,HW,evspsblveg,precipitation,12149,0.42778243531026106,0.43122855748684447,0.006521505767249782,0.418407161172469,0.4437331877130732,True
LPJ-GUESS,HW,evspsblveg,lai,12149,0.516508632355387,0.5194886443590658,0.005072169324124881,0.509433892190429,0.5294101092900622,True
LPJ-GUESS,HW,evspsblsoi,precipitation,12149,0.1888393327432663,0.1905811724867599,0.007839857685756284,0.17540290503031214,0.20470131436928712,True
LPJ-GUESS,HW,evspsblsoi,lai,12149,0.16811988454739113,0.1696322239775777,0.0076209290677784125,0.1548255083837093,0.18409886389886526,True
LPJ-GUESS,HD,evapotrans,precipitation,11139,0.5769852813065777,0.5794157561102147,0.004096219077101304,0.5712564189193917,0.5872855160248636,True
LPJ-GUESS,HD,evapotrans,lai,11139,0.5529696315032033,0.5545037116344939,0.0037966841644359187,0.5473083065411389,0.5621840243903927,True
LPJ-GUESS,HD,tran,precipitation,11139,0.5357353536340124,0.5375263658796157,0.0047888691886302645,0.5280241736444773,0.547318475046667,True
LPJ-GUESS,HD,tran,lai,11139,0.6009088194019009,0.5993779620867071,0.003848914526058352,0.5920980606733068,0.6065309849957328,True
LPJ-GUESS,HD,evspsblveg,precipitation,11139,0.5604216943299964,0.5632717398588302,0.004148484970822994,0.5554638632004555,0.5714656415999392,True
LPJ-GUESS,HD,evspsblveg,lai,11139,0.5839410449609899,0.5850709711202435,0.0030682796645630215,0.5790028632565037,0.5913476815249379,True
LPJ-GUESS,HD,evspsblsoi,precipitation,11139,0.3297577792487714,0.3355048680317053,0.006989554824305233,0.3221357301665176,0.3493922543330869,True
LPJ-GUESS,HD,evspsblsoi,lai,11139,0.2730645138153862,0.27639177861124153,0.00842269307381892,0.2590357304885157,0.29295033151054867,True
LPJ-GUESS,CW,evapotrans,precipitation,20732,0.2950608430898483,0.2948468497126791,0.005643948298528421,0.2840108431145627,0.30604808914293785,True
LPJ-GUESS,CW,evapotrans,lai,20732,0.358088556050668,0.36077269370595627,0.00393588893168216,0.35314241556418535,0.3685089136380411,True
LPJ-GUESS,CW,tran,precipitation,20732,0.2647196193835295,0.26416508144436557,0.006050831779830068,0.25250936593209017,0.2758283708791378,True
LPJ-GUESS,CW,tran,lai,20732,0.37851852074190745,0.3799273402258946,0.0036893687684992084,0.3727208311092561,0.3870570824578483,True
LPJ-GUESS,CW,evspsblveg,precipitation,20732,0.2459779592249291,0.2481483218258086,0.004942069506912024,0.23852524061815303,0.2580730244368613,True
LPJ-GUESS,CW,evspsblveg,lai,20732,0.546995625797686,0.5480895085967353,0.003992024882455389,0.5401608251208115,0.555661529909744,True
LPJ-GUESS,CW,evspsblsoi,precipitation,20732,0.15780738990571702,0.16080516016740445,0.005534387272506515,0.14949227480957733,0.17144176928274238,True
LPJ-GUESS,CW,evspsblsoi,lai,20732,0.18472494496879713,0.18766416639166186,0.006277457980193478,0.1754575553187049,0.20001569759697957,True
LPJ-GUESS,CD,evapotrans,precipitation,9666,0.31949804822480204,0.3225640401232002,0.008786456216408604,0.30575583658743716,0.3399284702972809,True
LPJ-GUESS,CD,evapotrans,lai,9666,0.5334396345702407,0.5355518130313638,0.004867317346656864,0.5264038658913623,0.5455939857101011,True
LPJ-GUESS,CD,tran,precipitation,9666,0.2846193290691712,0.28376369745095836,0.00851042883559759,0.26786875955334555,0.30082327374044643,True
LPJ-GUESS,CD,tran,lai,9666,0.609144799114554,0.6119335108551885,0.005092871072229106,0.601465830058756,0.6212507710924094,True
LPJ-GUESS,CD,evspsblveg,precipitation,9666,0.3135713706461801,0.31423630822592263,0.007930156271520113,0.29859086191913775,0.32859650412540276,True
LPJ-GUESS,CD,evspsblveg,lai,9666,0.5972952044136697,0.5994039293417683,0.004380212517294434,0.5912371719314312,0.6083702688649043,True
LPJ-GUESS,CD,evspsblsoi,precipitation,9666,0.1392688571213988,0.14510668775127133,0.005048108601829912,0.13622944064152914,0.155555979362775,True
LPJ-GUESS,CD,evspsblsoi,lai,9666,0.22263310175155254,0.22604285171817054,0.007644616701027932,0.21202843937887383,0.2422423737028376,True
