model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
CLASSIC,2019,CD,evspsblsoi,lai,13402,0.3525084805787507,0.36552995695003887,0.014491018188349036,0.34451327170036805,0.3957834041331936,True
CLASSIC,2020,HW,evapotrans,precipitation,13225,0.22456712489658745,0.2280726145801231,0.007240096994729092,0.21458098496183842,0.24171578793193593,True
CLASSIC,2020,HW,evapotrans,lai,13225,0.3702264287357455,0.3719694799479629,0.006626891924750349,0.3584502916241397,0.38471098838030415,True
CLASSIC,2020,HW,tran,precipitation,13225,0.1637515127874296,0.16912129251071673,0.007685812991625732,0.15466198246769705,0.1835059023746881,True
CLASSIC,2020,HW,tran,lai,13225,0.40707414408737663,0.40841987303274335,0.006571064099608852,0.3961514839615624,0.42134585417675297,True
CLASSIC,2020,HW,evspsblveg,precipitation,13225,0.29169582220621926,0.29282096723703377,0.008204288748956635,0.27776056213468286,0.30915997311466337,True
CLASSIC,2020,HW,evspsblveg,lai,13225,0.44434224127827426,0.44541277504157306,0.0046689146309412885,0.4359798582666775,0.4532885381429734,True
CLASSIC,2020,HW,evspsblsoi,precipitation,13225,0.18485886781423416,0.18857128231270517,0.006585877750026561,0.17580689689224105,0.20138632426868305,True
CLASSIC,2020,HW,evspsblsoi,lai,13225,0.40085395624347364,0.40394168346101694,0.007282077913507026,0.39022555724695107,0.41785693686375097,True
CLASSIC,2020,HD,evapotrans,precipitation,11825,0.528805643442277,0.5298380511842065,0.0051462319832409785,0.521083306377484,0.5405017195385824,True
CLASSIC,2020,HD,evapotrans,lai,11825,0.4704732834249829,0.4720560087888792,0.007924598838632821,0.4565779776869893,0.4867926188301859,True
CLASSIC,2020,HD,tran,precipitation,11825,0.47627387184400705,0.478221014997348,0.0057485799576860045,0.46698897248705484,0.4890845356123387,True
CLASSIC,2020,HD,tran,lai,11825,0.6142175534662118,0.6143522778140165,0.004619099798063025,0.6045759603792893,0.624111229621064,True
CLASSIC,2020,HD,evspsblveg,precipitation,11825,0.5101479744583365,0.5107878315056981,0.005277060295046639,0.49824258355351525,0.5203083106816899,True
CLASSIC,2020,HD,evspsblveg,lai,11825,0.599085136687999,0.6014484911036468,0.006241979599984634,0.5897762170123076,0.6135935617328014,True
CLASSIC,2020,HD,evspsblsoi,precipitation,11825,0.4029385283768111,0.4048673439358159,0.0064012066060000474,0.39272289967462864,0.41697730176799946,True
CLASSIC,2020,HD,evspsblsoi,lai,11825,0.3243707991471856,0.3267913970213051,0.009380504029653033,0.3093014366108452,0.3448383367901135,True
CLASSIC,2020,CW,evapotrans,precipitation,22333,0.2349411983323143,0.2353487350515649,0.005996811254836095,0.22386345912365804,0.24635122926871028,True
CLASSIC,2020,CW,evapotrans,lai,22333,0.26463897667173475,0.26603325156406077,0.004823845286632166,0.2559099828325178,0.27454292032841227,True
CLASSIC,2020,CW,tran,precipitation,22333,0.2816301614501361,0.2823772667155794,0.005859783612671125,0.2708786715497185,0.2938599425686684,True
CLASSIC,2020,CW,tran,lai,22333,0.4294476740123124,0.42945059954337067,0.0035367046131883906,0.4224612845624894,0.43613760841722476,True
CLASSIC,2020,CW,evspsblveg,precipitation,22333,0.3679804640058293,0.3685414911134949,0.005345314131107739,0.3587295138113357,0.3784622783176155,True
CLASSIC,2020,CW,evspsblveg,lai,22333,0.5233919313030633,0.5250186258688756,0.0024999275755314943,0.5198248855755058,0.5296163269516965,True
CLASSIC,2020,CW,evspsblsoi,precipitation,22333,0.16091277261276882,0.16074643369550184,0.004679403284162168,0.1511121717671604,0.1692636967388587,True
CLASSIC,2020,CW,evspsblsoi,lai,22333,0.2068504195929754,0.20596644390506433,0.004251343198929996,0.1973271791257055,0.21381526459535682,True
CLASSIC,2020,CD,evapotrans,precipitation,13367,0.27129385570291764,0.27443096348381635,0.006428667576510985,0.2608820608857306,0.2891740904265119,True
CLASSIC,2020,CD,evapotrans,lai,13367,0.3848204130379176,0.3819626554357386,0.013954008818840898,0.3548189660913695,0.4045153413715697,True
CLASSIC,2020,CD,tran,precipitation,13367,0.2672329692185869,0.26852593719506035,0.006100844987127655,0.2569048365249724,0.28114544295915084,True
CLASSIC,2020,CD,tran,lai,13367,0.5072278387789395,0.5039882427051718,0.01625889075171119,0.47257705242281717,0.5280935412596666,True
CLASSIC,2020,CD,evspsblveg,precipitation,13367,0.2914070995133681,0.29419171065626487,0.006431883169037619,0.2813783383267524,0.3077300999849462,True
CLASSIC,2020,CD,evspsblveg,lai,13367,0.5609845432199864,0.5500578093548725,0.018998825033221412,0.5123197385980941,0.5696269711829426,True
CLASSIC,2020,CD,evspsblsoi,precipitation,13367,0.2522743048854552,0.2578787048142278,0.005897406416742363,0.24709169578714477,0.270421208322005,True
CLASSIC,2020,CD,evspsblsoi,lai,13367,0.36678348995134585,0.3621011757891832,0.017323251713959726,0.32997877660219793,0.3870582464631172,True
LPJ-GUESS,1991,HW,evapotrans,precipitation,13298,0.3122774652715982,0.3157372418952179,0.007433921576016922,0.29976335289203127,0.3274892422507515,True
LPJ-GUESS,1991,HW,evapotrans,lai,13298,0.45992884904395137,0.4623177315369034,0.005462058171951699,0.45178805931583355,0.4724581648748929,True
LPJ-GUESS,1991,HW,tran,precipitation,13298,0.25720488619848114,0.2589708316611829,0.007817915283065078,0.2451403954402009,0.27372963834572117,True
LPJ-GUESS,1991,HW,tran,lai,13298,0.44353715918612896,0.4456607263129632,0.004853495823604232,0.43726954217675296,0.4556235700910063,True
LPJ-GUESS,1991,HW,evspsblveg,precipitation,13298,0.3432547026108946,0.3450415378921579,0.00710405761054707,0.33070981804353927,0.3578657543234245,True
LPJ-GUESS,1991,HW,evspsblveg,lai,13298,0.5035457307730147,0.5058500691934963,0.004821323353888083,0.49679649257578945,0.513999539155019,True
LPJ-GUESS,1991,HW,evspsblsoi,precipitation,13298,0.15165330703461544,0.15380595662219668,0.00842571818896861,0.13752622070731535,0.1693605096979608,True
LPJ-GUESS,1991,HW,evspsblsoi,lai,13298,0.11719304276633832,0.12480536875202024,0.007122974081449313,0.1120140930963112,0.13747039718066073,True
LPJ-GUESS,1991,HD,evapotrans,precipitation,11879,0.49891069830669127,0.49926705879891714,0.004573844319743096,0.4902421210556332,0.5074513540313892,True
LPJ-GUESS,1991,HD,evapotrans,lai,11879,0.5261449412893137,0.5289359814555076,0.005270087277330858,0.5187240324018474,0.5396236873602601,True
LPJ-GUESS,1991,HD,tran,precipitation,11879,0.48565540779742317,0.485435565110803,0.0054573164914574765,0.47425887034505876,0.49518213131863015,True
LPJ-GUESS,1991,HD,tran,lai,11879,0.5684849590270922,0.5702504348936316,0.004213243190778385,0.5614730103044394,0.577981565366622,True
LPJ-GUESS,1991,HD,evspsblveg,precipitation,11879,0.4774453432379184,0.4792683397278885,0.005310591579926499,0.46989272358459444,0.48978509576107154,True
LPJ-GUESS,1991,HD,evspsblveg,lai,11879,0.5761884070664272,0.5785303678297536,0.004049681743007887,0.5709732950960738,0.5879199541372906,True
LPJ-GUESS,1991,HD,evspsblsoi,precipitation,11879,0.2832098583431887,0.2833449081286323,0.007901707863065556,0.26950013984302434,0.29808539355304176,True
LPJ-GUESS,1991,HD,evspsblsoi,lai,11879,0.2293908158669502,0.23419260768389208,0.007793577119632498,0.218169243382209,0.24959846310657607,True
LPJ-GUESS,1991,CW,evapotrans,precipitation,22403,0.26763587284190066,0.2685078216639715,0.006382443822834076,0.2571040367738732,0.28105221215459975,True
LPJ-GUESS,1991,CW,evapotrans,lai,22403,0.36664077794109207,0.36786708813555097,0.003611276399710264,0.3606580529928253,0.37503422920205753,True
LPJ-GUESS,1991,CW,tran,precipitation,22403,0.23732542847227933,0.23921812292971192,0.006407133448740428,0.22778804834380473,0.2526220953581722,True
LPJ-GUESS,1991,CW,tran,lai,22403,0.39049942888707506,0.39196587656996684,0.0035715848354270063,0.3859386708245294,0.3996048014145036,True
LPJ-GUESS,1991,CW,evspsblveg,precipitation,22403,0.24708739067293264,0.2496485929255408,0.006441119263363437,0.23789927860617852,0.26267027293558826,True
LPJ-GUESS,1991,CW,evspsblveg,lai,22403,0.5321521730986284,0.5330180053044277,0.003472747971819343,0.5263282784780174,0.5390718971634102,True
LPJ-GUESS,1991,CW,evspsblsoi,precipitation,22403,0.1305052099990457,0.13274449190264132,0.004932249778436022,0.12191494832749539,0.1424946579654992,True
LPJ-GUESS,1991,CW,evspsblsoi,lai,22403,0.1502158950136281,0.15362852122474363,0.005868236929539102,0.14350407338106017,0.16516564075377374,True
LPJ-GUESS,1991,CD,evapotrans,precipitation,10713,0.25973309771941683,0.26176442314255444,0.00911811682089561,0.24175370760586237,0.28025859072692666,True
LPJ-GUESS,1991,CD,evapotrans,lai,10713,0.5026420163883718,0.5022036652284846,0.004886903559514763,0.49278985656112767,0.5121278753989369,True
LPJ-GUESS,1991,CD,tran,precipitation,10713,0.23359256464556735,0.23466088029556406,0.008810284125667953,0.21650569518190446,0.2516746347804645,True
LPJ-GUESS,1991,CD,tran,lai,10713,0.5762912464528422,0.578028887581103,0.004370687806130159,0.5698718623621837,0.5869527940667126,True
LPJ-GUESS,1991,CD,evspsblveg,precipitation,10713,0.23647190129314222,0.2370487796410819,0.008289562628420045,0.2225879402687997,0.2524124872521215,True
LPJ-GUESS,1991,CD,evspsblveg,lai,10713,0.6037001564370732,0.6052726122627798,0.004687266839485456,0.5957944479359147,0.6142042928225504,True
LPJ-GUESS,1991,CD,evspsblsoi,precipitation,10713,0.18215315315327157,0.18435937978317918,0.008599210074700481,0.16782224371151647,0.1994216637957176,True
LPJ-GUESS,1991,CD,evspsblsoi,lai,10713,0.18838803566875786,0.19846331518380272,0.009973321068379176,0.18105234046744764,0.2193500401479851,True
LPJ-GUESS,1992,HW,evapotrans,precipitation,13294,0.3273923977224692,0.32981530180860585,0.007528605003808522,0.3152908331780929,0.34531490741352017,True
LPJ-GUESS,1992,HW,evapotrans,lai,13294,0.46601093428775153,0.46928727165844863,0.005102237695561425,0.45934559170428363,0.478615706658418,True
LPJ-GUESS,1992,HW,tran,precipitation,13294,0.26467927515279527,0.2685416776332721,0.00723322074292165,0.2563737603422076,0.28356626901487886,True
LPJ-GUESS,1992,HW,tran,lai,13294,0.4462716367686481,0.44891620839611035,0.005263825443964871,0.43880178002385717,0.4590565775379896,True
LPJ-GUESS,1992,HW,evspsblveg,precipitation,13294,0.35824277223641476,0.3596684500868879,0.007861073076213506,0.34504240883054565,0.3753968088332924,True
LPJ-GUESS,1992,HW,evspsblveg,lai,13294,0.5084054959874293,0.5109098216332678,0.004235185713156429,0.5034980753889889,0.5192930848992607,True
LPJ-GUESS,1992,HW,evspsblsoi,precipitation,13294,0.11664764966255164,0.12190805815576393,0.007198585865832184,0.10881674652665203,0.13720542331934435,True
LPJ-GUESS,1992,HW,evspsblsoi,lai,13294,0.10537295518393253,0.1097463238495382,0.005760740488472084,0.09922083378701005,0.12125259082812093,True
LPJ-GUESS,1992,HD,evapotrans,precipitation,11876,0.4304211416128281,0.43366035456563606,0.006022030034839063,0.42044541967473387,0.44423584808802746,True
LPJ-GUESS,1992,HD,evapotrans,lai,11876,0.5197320112421129,0.5225193580259111,0.004944396612708148,0.5133042559421785,0.531370114507888,True
LPJ-GUESS,1992,HD,tran,precipitation,11876,0.4270617267036954,0.4303876036872566,0.00612330286597075,0.41631156538847724,0.44071196613419455,True
LPJ-GUESS,1992,HD,tran,lai,11876,0.5818503437094436,0.5824234378974896,0.0037686721576749775,0.5761663254939972,0.589491653388062,True
LPJ-GUESS,1992,HD,evspsblveg,precipitation,11876,0.4101681785045284,0.4150598373177424,0.005462065010866966,0.40556433241569756,0.42608036048128484,True
LPJ-GUESS,1992,HD,evspsblveg,lai,11876,0.564702605668109,0.5662384241510745,0.004384904472214583,0.5578139241435504,0.5746111021773821,True
LPJ-GUESS,1992,HD,evspsblsoi,precipitation,11876,0.24248338264347702,0.2448602842202655,0.006861665080723402,0.2318123119038208,0.25770121844043414,True
LPJ-GUESS,1992,HD,evspsblsoi,lai,11876,0.2579905300574342,0.2592548264699224,0.0068991105671320895,0.2464346953507759,0.2733762801536557,True
LPJ-GUESS,1992,CW,evapotrans,precipitation,22396,0.2305244029590211,0.2324883337500364,0.005333403745611117,0.22340094737736002,0.24394550174764176,True
LPJ-GUESS,1992,CW,evapotrans,lai,22396,0.35803108786582044,0.35929102959905385,0.0034909085003369564,0.35310886523086166,0.36627894475112976,True
LPJ-GUESS,1992,CW,tran,precipitation,22396,0.20530051419794004,0.2091912143852111,0.005529173092744898,0.19921096246077202,0.2211267295215248,True
LPJ-GUESS,1992,CW,tran,lai,22396,0.38263550960127035,0.3845362943874845,0.003863276841603387,0.37809213958541976,0.39314304740199285,True
LPJ-GUESS,1992,CW,evspsblveg,precipitation,22396,0.1920040502006381,0.19778188263600482,0.0064622028792731216,0.18460293350094129,0.21105793080382584,True
LPJ-GUESS,1992,CW,evspsblveg,lai,22396,0.5298709047890966,0.5303133294645935,0.0034970151746209037,0.5233003022715647,0.5354830776357975,True
LPJ-GUESS,1992,CW,evspsblsoi,precipitation,22396,0.12951167133330915,0.13236245581679953,0.006333147146026653,0.12098549456563529,0.14544996704615698,True
LPJ-GUESS,1992,CW,evspsblsoi,lai,22396,0.21845603291151097,0.21795147697532236,0.00659658113437354,0.20538454354170585,0.23141664130749798,True
LPJ-GUESS,1992,CD,evapotrans,precipitation,10716,0.3140216719553728,0.3156485652157428,0.008519657824003995,0.29998756173217106,0.33180421427911233,True
LPJ-GUESS,1992,CD,evapotrans,lai,10716,0.501716011166435,0.5037977895486024,0.005193391056426855,0.4935767254851164,0.513124818914936,True
LPJ-GUESS,1992,CD,tran,precipitation,10716,0.285394142322069,0.2907695063302883,0.008414026653359276,0.2728774594153011,0.305098174199178,True
LPJ-GUESS,1992,CD,tran,lai,10716,0.6084815845131544,0.6105212806100159,0.00539637349271283,0.6004324372118606,0.6210939195904638,True
LPJ-GUESS,1992,CD,evspsblveg,precipitation,10716,0.2783823869226676,0.2792425823108602,0.00816909218075048,0.26118029354374017,0.2944193530316127,True
LPJ-GUESS,1992,CD,evspsblveg,lai,10716,0.5997539691278895,0.6022919242825651,0.004284803804877925,0.5945876501799513,0.6113167895766966,True
LPJ-GUESS,1992,CD,evspsblsoi,precipitation,10716,0.13518085472337496,0.1379935128561148,0.006943658003970643,0.12508963652663363,0.15131401787555002,True
LPJ-GUESS,1992,CD,evspsblsoi,lai,10716,0.22779474687035148,0.2296774753261457,0.008659201711957028,0.21341966746072424,0.24602666964418263,True
LPJ-GUESS,1993,HW,evapotrans,precipitation,13276,0.3233499622984952,0.3253396233136579,0.0063929756447177865,0.3120485366359337,0.3378905982854481,True
LPJ-GUESS,1993,HW,evapotrans,lai,13276,0.42417315139153344,0.42737145991209347,0.006372852207076148,0.4158490914315117,0.43982836546288,True
LPJ-GUESS,1993,HW,tran,precipitation,13276,0.23938565267439463,0.24042476308825178,0.007326724899656061,0.22557762340920956,0.25514953182416,True
LPJ-GUESS,1993,HW,tran,lai,13276,0.41070714573638123,0.4117571483829117,0.006071127751534028,0.40033376801242976,0.4246179319905889,True
LPJ-GUESS,1993,HW,evspsblveg,precipitation,13276,0.36982045029630245,0.37117712508873246,0.007025650767621718,0.3581612163899719,0.3854084337100679,True
LPJ-GUESS,1993,HW,evspsblveg,lai,13276,0.484691023099649,0.48576718271578906,0.004713121089659161,0.47595161822593546,0.49470960921351465,True
LPJ-GUESS,1993,HW,evspsblsoi,precipitation,13276,0.15334945095453822,0.158542421341207,0.00808426995967601,0.14411983538453707,0.17327433368087822,True
LPJ-GUESS,1993,HW,evspsblsoi,lai,13276,0.12109813160445337,0.12306619305018801,0.0052849961375259005,0.112140694002754,0.1332326385480333,True
LPJ-GUESS,1993,HD,evapotrans,precipitation,11874,0.4709931702580227,0.47232417989857356,0.004958226419926451,0.4629220920472569,0.48048848384075343,True
LPJ-GUESS,1993,HD,evapotrans,lai,11874,0.48876798067436245,0.49089435990998737,0.00580575934567314,0.4808431066867826,0.5038414536813757,True
LPJ-GUESS,1993,HD,tran,precipitation,11874,0.4633196880188002,0.46399223127070016,0.004985072198922826,0.4538202511412495,0.4721811548995426,True
LPJ-GUESS,1993,HD,tran,lai,11874,0.5602870437260429,0.5624980031598934,0.004375978183386949,0.5547963029934845,0.5701603382080094,True
LPJ-GUESS,1993,HD,evspsblveg,precipitation,11874,0.4452601372906835,0.44741726252788105,0.005789334376910922,0.4355178905630103,0.45770727548013274,True
LPJ-GUESS,1993,HD,evspsblveg,lai,11874,0.5693852426042103,0.5696570665242685,0.0038240599599256714,0.5624261755499058,0.57777078502774,True
LPJ-GUESS,1993,HD,evspsblsoi,precipitation,11874,0.24962016428907963,0.2564357514629487,0.008077283920306575,0.24008522272135108,0.27229278649556055,True
LPJ-GUESS,1993,HD,evspsblsoi,lai,11874,0.21333811417186865,0.21614028088856307,0.009182631353380374,0.19957418649040726,0.23625034681471385,True
LPJ-GUESS,1993,CW,evapotrans,precipitation,22450,0.3241769685142412,0.32446153256040083,0.005994141658094214,0.3132572809207424,0.3368887901651649,True
LPJ-GUESS,1993,CW,evapotrans,lai,22450,0.38547884187082404,0.3870829175033856,0.0042162552108600876,0.37975000000000003,0.3963791446167688,True
LPJ-GUESS,1993,CW,tran,precipitation,22450,0.30732963365497745,0.3062797710204471,0.005515698294934774,0.29551169711658704,0.3156489632651906,True
LPJ-GUESS,1993,CW,tran,lai,22450,0.41701559020044543,0.4172245077615361,0.00415072941502317,0.4089515568073616,0.4259578383728982,True
LPJ-GUESS,1993,CW,evspsblveg,precipitation,22450,0.2369850735559688,0.2389255349197878,0.004348905703271362,0.23046073803478678,0.24645112358401927,True
LPJ-GUESS,1993,CW,evspsblveg,lai,22450,0.5193095768374165,0.5196503904699349,0.004692090545435671,0.5111764681127283,0.5291093827779948,True
LPJ-GUESS,1993,CW,evspsblsoi,precipitation,22450,0.1474755670110342,0.14738655037305318,0.0046131075772160674,0.13800383164763635,0.15539348702154668,True
LPJ-GUESS,1993,CW,evspsblsoi,lai,22450,0.13734966592427617,0.14080517953233532,0.007735346809475374,0.12745107179723714,0.1565266376223853,True
LPJ-GUESS,1993,CD,evapotrans,precipitation,10760,0.340849831416962,0.33866448156933465,0.006274993693677279,0.3258215012187721,0.3501537909970574,True
LPJ-GUESS,1993,CD,evapotrans,lai,10760,0.5056691449814126,0.5073661870542405,0.004270523787962923,0.4990095720235709,0.5148501533265954,True
LPJ-GUESS,1993,CD,tran,precipitation,10760,0.29456903259272066,0.29219597343905535,0.0075646042598585825,0.27690056085677894,0.30580960770276605,True
LPJ-GUESS,1993,CD,tran,lai,10760,0.5979553903345725,0.5988463834806426,0.004954661478743032,0.589678321822179,0.6078788358179896,True
LPJ-GUESS,1993,CD,evspsblveg,precipitation,10760,0.32625745655744787,0.3270942850577167,0.006811374681768498,0.3142544528921871,0.3394904413520007,True
LPJ-GUESS,1993,CD,evspsblveg,lai,10760,0.6078066914498141,0.6097367084578191,0.004583988160888997,0.6002484117451361,0.6178174926056974,True
LPJ-GUESS,1993,CD,evspsblsoi,precipitation,10760,0.10985130111524165,0.11368702182555107,0.0055132212598464755,0.10380628947668478,0.12454729712861784,True
LPJ-GUESS,1993,CD,evspsblsoi,lai,10760,0.18080855018587366,0.1849268233254607,0.009824566200613638,0.16556205873158286,0.20556537067403508,True
LPJ-GUESS,1994,HW,evapotrans,precipitation,13305,0.34938809206980315,0.35238307135741737,0.007432177345195663,0.3373715429181259,0.36569715297123184,True
LPJ-GUESS,1994,HW,evapotrans,lai,13305,0.43696739869743867,0.4395356568440752,0.00577227632046528,0.4272915375438224,0.450713787883023,True
LPJ-GUESS,1994,HW,tran,precipitation,13305,0.2484707796289029,0.25515098084416615,0.006921948007669537,0.24277720348083334,0.26806567756296285,True
LPJ-GUESS,1994,HW,tran,lai,13305,0.4294916893741048,0.43146797569368905,0.005773486690494696,0.42044078208506636,0.44286297301241356,True
LPJ-GUESS,1994,HW,evspsblveg,precipitation,13305,0.37837698497737443,0.380511354028367,0.007247973476488334,0.36597326123248697,0.3935529266353737,True
LPJ-GUESS,1994,HW,evspsblveg,lai,13305,0.49258403446166077,0.49502844166046683,0.004861351022299706,0.4864122362218115,0.5043839804494392,True
LPJ-GUESS,1994,HW,evspsblsoi,precipitation,13305,0.1698564935085102,0.17286282488924115,0.00879227763470367,0.15461631445681986,0.18962139269905312,True
LPJ-GUESS,1994,HW,evspsblsoi,lai,13305,0.11033131355956874,0.12006543120949281,0.007123596193530508,0.10738066201289934,0.13455999892999432,True
LPJ-GUESS,1994,HD,evapotrans,precipitation,11875,0.48045979423033314,0.48317798386595195,0.006131034865792927,0.4702185538022753,0.49423923807748665,True
LPJ-GUESS,1994,HD,evapotrans,lai,11875,0.48655661881977674,0.49024181028842934,0.005284765549589831,0.4806189709820833,0.5010930399234664,True
LPJ-GUESS,1994,HD,tran,precipitation,11875,0.45343770778687575,0.4567121028739324,0.006937922750709693,0.4441256901465325,0.46910722844832853,True
LPJ-GUESS,1994,HD,tran,lai,11875,0.5685245791245792,0.5704303364447384,0.004309810988487551,0.5625092301163239,0.5797978350161016,True
LPJ-GUESS,1994,HD,evspsblveg,precipitation,11875,0.46935971649549024,0.4737251724827262,0.005737418942579044,0.4625691418756399,0.4848398066722307,True
LPJ-GUESS,1994,HD,evspsblveg,lai,11875,0.5546618465355307,0.5574839513018565,0.00340141283797419,0.5506751626027335,0.5645726355661032,True
LPJ-GUESS,1994,HD,evspsblsoi,precipitation,11875,0.29196657266760884,0.2950674538987797,0.0076549202359017104,0.28141936943822365,0.30912231331508544,True
LPJ-GUESS,1994,HD,evspsblsoi,lai,11875,0.1996896060025311,0.20631833989489073,0.008397492622756606,0.1892515123812905,0.22350045391882115,True
LPJ-GUESS,1994,CW,evapotrans,precipitation,22368,0.3004458314205021,0.30081566545884125,0.00612447688284948,0.2898113193778235,0.3134778343670238,True
LPJ-GUESS,1994,CW,evapotrans,lai,22368,0.3652137041357377,0.36572487837727835,0.00364271554498716,0.35908890887447353,0.3733161556647638,True
LPJ-GUESS,1994,CW,tran,precipitation,22368,0.2747021465305092,0.27637803212808315,0.007148127439520003,0.26373806798124017,0.29100936257821425,True
LPJ-GUESS,1994,CW,tran,lai,22368,0.3924166464417205,0.3931373478383513,0.0034978351862748358,0.38690737475433795,0.4007222587051726,True
LPJ-GUESS,1994,CW,evspsblveg,precipitation,22368,0.2665062452795672,0.2673608431465479,0.005674265855934039,0.25634913669966514,0.2778412019137259,True
LPJ-GUESS,1994,CW,evspsblveg,lai,22368,0.5608495884343366,0.5600580318561242,0.0030160329939298946,0.5537534389841936,0.5659577999668387,True
LPJ-GUESS,1994,CW,evspsblsoi,precipitation,22368,0.11498436483756408,0.11786166148881244,0.004597840326719459,0.10822532734657267,0.1269680303852016,True
LPJ-GUESS,1994,CW,evspsblsoi,lai,22368,0.20937864528674016,0.2116068086374252,0.006933855508079231,0.1994083101494339,0.2251774025280273,True
LPJ-GUESS,1994,CD,evapotrans,precipitation,10748,0.2608307421526316,0.26089760708422816,0.00819289955277266,0.24557392531976704,0.2755514594203238,True
LPJ-GUESS,1994,CD,evapotrans,lai,10748,0.49020084690405596,0.49206747696122394,0.005705262018251256,0.48223328250081127,0.5035337251090688,True
LPJ-GUESS,1994,CD,tran,precipitation,10748,0.23667993510276847,0.23630231410965513,0.007620830676044746,0.2216595068144138,0.2484385516037621,True
LPJ-GUESS,1994,CD,tran,lai,10748,0.5915971319088211,0.5950150806527877,0.004222785034476521,0.5872252527097838,0.6036102226252327,True
LPJ-GUESS,1994,CD,evspsblveg,precipitation,10748,0.26436778982985165,0.2626623690044274,0.007856499022111245,0.24646053546497473,0.27627998778077695,True
LPJ-GUESS,1994,CD,evspsblveg,lai,10748,0.6044418431552436,0.6063535171588392,0.003967111790334688,0.5997249704781249,0.6147085270981383,True
LPJ-GUESS,1994,CD,evspsblsoi,precipitation,10748,0.14617126135739206,0.1449785421049601,0.006896629487403837,0.1309443508215043,0.15842984846953675,True
LPJ-GUESS,1994,CD,evspsblsoi,lai,10748,0.2021175600003462,0.20081365003708743,0.009839296294344591,0.18196621769376714,0.22103802889744892,True
LPJ-GUESS,1995,HW,evapotrans,precipitation,13296,0.35836293989980617,0.36170179771638516,0.006128927721263085,0.35115063339934477,0.37293860022880027,True
LPJ-GUESS,1995,HW,evapotrans,lai,13296,0.44592159392213776,0.4483271124691358,0.0052337345712137225,0.4373380914140195,0.4585432657544356,True
LPJ-GUESS,1995,HW,tran,precipitation,13296,0.2892489799524685,0.29153658990185727,0.006906816178644623,0.2793311555566846,0.3050044932712304,True
LPJ-GUESS,1995,HW,tran,lai,13296,0.443561061460727,0.44527949237658804,0.005421272114307141,0.4345307623387441,0.4558173436080823,True
LPJ-GUESS,1995,HW,evspsblveg,precipitation,13296,0.3887587086201213,0.39038526611549146,0.006816647642485689,0.3755127257818391,0.403535312341115,True
LPJ-GUESS,1995,HW,evspsblveg,lai,13296,0.48107728383818626,0.48315944761636215,0.005195186704816464,0.4729626001638486,0.49292335566244966,True
LPJ-GUESS,1995,HW,evspsblsoi,precipitation,13296,0.14897605700644037,0.1516133803873394,0.006271554179767025,0.1400845419990005,0.163725478713699,True
LPJ-GUESS,1995,HW,evspsblsoi,lai,13296,0.13181894266351796,0.13573592657840525,0.0057429769103877,0.1255192319816126,0.14607135925356357,True
LPJ-GUESS,1995,HD,evapotrans,precipitation,11879,0.4367607544121811,0.44039849279656396,0.005169648720655614,0.4318438789847387,0.4509825881381343,True
LPJ-GUESS,1995,HD,evapotrans,lai,11879,0.5011820225432483,0.5024153970799624,0.004086364119023982,0.4954960790390996,0.5095451167779792,True
LPJ-GUESS,1995,HD,tran,precipitation,11879,0.4371713417757407,0.44043861466173406,0.005403207862714056,0.4299732921391369,0.45076519588536135,True
LPJ-GUESS,1995,HD,tran,lai,11879,0.5669693965215474,0.568771871722818,0.003994000797783366,0.5614704509801729,0.577393998712469,True
LPJ-GUESS,1995,HD,evspsblveg,precipitation,11879,0.4216132302012111,0.4243506243946781,0.006408201981087131,0.4121523470240945,0.4383033635011673,True
LPJ-GUESS,1995,HD,evspsblveg,lai,11879,0.5735781929064192,0.574361442103369,0.004510688450083972,0.5665060473693356,0.5824589321858857,True
LPJ-GUESS,1995,HD,evspsblsoi,precipitation,11879,0.24562560957669974,0.2507962774091007,0.006990744402963373,0.23819727129327695,0.26421431391172034,True
LPJ-GUESS,1995,HD,evspsblsoi,lai,11879,0.24133387782474408,0.2431520489467423,0.0073371978282293,0.22816929807106456,0.25853511972727355,True
LPJ-GUESS,1995,CW,evapotrans,precipitation,22386,0.23126061099578454,0.23236476752973956,0.005853341036614744,0.22044160211407202,0.24315074851469667,True
LPJ-GUESS,1995,CW,evapotrans,lai,22386,0.35847928675775953,0.35984446664906516,0.003647084534232601,0.3523458793865593,0.3671091405077797,True
LPJ-GUESS,1995,CW,tran,precipitation,22386,0.20372296379196583,0.20470330186847074,0.006009344544077732,0.19246543639892946,0.21754140563877145,True
LPJ-GUESS,1995,CW,tran,lai,22386,0.38744958209484637,0.38883941099497477,0.0034467823606388103,0.3818516831823291,0.39515404269831944,True
LPJ-GUESS,1995,CW,evspsblveg,precipitation,22386,0.20675128934217146,0.20853045618489216,0.007253674044315812,0.19437669868773802,0.2216201669443353,True
LPJ-GUESS,1995,CW,evspsblveg,lai,22386,0.5132212101077185,0.5138376105654503,0.003700130358531243,0.5068868781243325,0.5218183984179158,True
LPJ-GUESS,1995,CW,evspsblsoi,precipitation,22386,0.10449916065136089,0.10785458231954234,0.005150252496276178,0.09741350303890503,0.11752761010264734,True
